COURSENAME,COMBINED_TITLE,RESOURCE_TYPE
food and wine writing,food and wine pairing a sensory experience,book
marketing online,journal of advertising research,journal
marketing online,journal of service research,journal
hydrology,meteorology today,book
human rights and indigenous peoples,indigenous law bulletin,journal
curriculum specialisation science ii,choosing and using digital games in the classroom a practical guide,book
evaluation for improved teaching and learning,discourse studies in the cultural politics of education,journal
organisational change and development online,leadership organization development journal,journal
engineering management for a sustainable future,biomimicry innovation inspired by nature,book
ecology,marine ecology progress series,journal
entrepreneurship and marketing online,the academy of management review,journal
engineering management for a sustainable future,cradle to cradle remaking the way we make things,book
evaluation of occupational therapy programs,introduction to research in the health sciences,book
strategic architecture of organisations,the academy of management executive,journal
coastal and marine tourism,marine tourism development impacts and management,book
textiles and design,design and realisation,book
events management,management of event operations,book
allied health honours seminar ii,the good research guide for small scale social research projects,book
evaluation of occupational therapy programs,research methods in practice strategies for description and causation,book
addiction and aboriginal communities,pimatisiwin a journal of aboriginal and indigenous community health,journal
managing digital enterprise online,mckinsey on business technology,journal
studying science,essential academic skills,book
plant identification and conservation,rainforest trees of mainland south eastern australia,book
understanding children and adolescents,child development and education,book
addiction and aboriginal communities,binan goonj bridging cultures in aboriginal health,book
contemporary issues in accounting theory,australian law reform commission reform journal,journal
addiction and aboriginal communities,pimatisiwin a journal of aboriginal and indigenous community health,journal
law placement,negotiation journal,journal
working with aboriginal communities i,the australian journal of indigenous education,journal
organisational change and development,the journal of management development,journal
organisational change and development,strategy leadership,journal
facility and risk management for hospitality operations,developing hospitality properties and facilities,book
applied ethics and sustainability,ethics in science and environmental politics,journal
tourism and hotel internship,controversies in management issues debates answers,book
grief trauma and crisis counselling,australian and new zealand journal of family therapy the,journal
aboriginal community organisation s ethics and sustainability,indiana business review,journal
current international legal issues,negotiating business transactions an extended simulation course,book
disability and community practice,the road to social work and human service practice,book
nutrition across the lifespan,food nutrition throughout life a comprehensive overview of food and nutrition in all stages of life,book
facility and risk management for hospitality operations,hotel asset management principles practices,book
strategic marketing of destinations and hotels,destination marketing and management theories and applications,book
marketing,nz marketing magazine,journal
disability and community practice,psychiatry psychology and law,journal
applied ethics and sustainability,case studies in business ethics,book
